"Order ID","Order Date","Ship Date","Customer Name","Region","Category","Sub-Category","Product Name","Sales","Quantity","Discount","Profit","Shipping Delay (Days)"
"ORD-1051","2022-01-03 03:00:00","2022-01-04 03:00:00","Bob","South","Office Supplies","Phones","Pen","505.83","1","0.15","150.4","1"
"ORD-1052","2022-01-03 04:00:00","2022-01-04 04:00:00","Bob","Central","Office Supplies","Phones","Pen","505.83","6","0.15","150.4","1"
"ORD-1053","2022-01-03 05:00:00","2022-01-04 05:00:00","Alice","South","Technology","Chairs","Stapler","505.83","3","0.15","150.4","1"
"ORD-1054","2022-01-03 06:00:00","2022-01-04 06:00:00","Bob","West","Technology","Binders","Monitor","505.83","1","0.15","150.4","1"
"ORD-1055","2022-01-03 07:00:00","2022-01-04 07:00:00","Eva","Central","Office Supplies","Accessories","Pen","505.83","6","0.15","150.4","1"
"ORD-1056","2022-01-03 08:00:00","2022-01-04 08:00:00","Bob","South","Technology","Chairs","Stapler","505.83","2","0.15","150.4","1"
"ORD-1057","2022-01-03 09:00:00","2022-01-04 09:00:00","David","West","Technology","Tables","Desk","505.83","8","0.15","150.4","1"
"ORD-1058","2022-01-03 10:00:00","2022-01-04 10:00:00","David","South","Office Supplies","Tables","Paper","505.83","2","0.15","150.4","1"
"ORD-1059","2022-01-03 11:00:00","2022-01-04 11:00:00","David","South","Technology","Storage","Pen","505.83","4","0.15","150.4","1"
"ORD-1060","2022-01-03 12:00:00","2022-01-04 12:00:00","David","East","Technology","Binders","Printer","505.83","3","0.15","150.4","1"
"ORD-1061","2022-01-03 13:00:00","2022-01-04 13:00:00","Eva","South","Technology","Chairs","Stapler","505.83","9","0.15","150.4","1"
"ORD-1062","2022-01-03 14:00:00","2022-01-04 14:00:00","Charlie","South","Office Supplies","Phones","Stapler","505.83","2","0.15","150.4","1"
"ORD-1063","2022-01-03 15:00:00","2022-01-04 15:00:00","Frank","West","Technology","Accessories","Pen","505.83","3","0.15","150.4","1"
"ORD-1064","2022-01-03 16:00:00","2022-01-04 16:00:00","Alice","West","Furniture","Storage","Stapler","505.83","7","0.15","150.4","1"
"ORD-1065","2022-01-03 17:00:00","2022-01-04 17:00:00","David","East","Furniture","Tables","Desk","505.83","4","0.15","150.4","1"
"ORD-1066","2022-01-03 18:00:00","2022-01-04 18:00:00","Bob","South","Office Supplies","Storage","Stapler","505.83","6","0.15","150.4","1"
"ORD-1067","2022-01-03 19:00:00","2022-01-04 19:00:00","David","East","Furniture","Storage","Paper","505.83","3","0.15","150.4","1"
"ORD-1068","2022-01-03 20:00:00","2022-01-04 20:00:00","Bob","South","Office Supplies","Binders","Paper","505.83","1","0.15","150.4","1"
"ORD-1069","2022-01-03 21:00:00","2022-01-04 21:00:00","Frank","Central","Furniture","Chairs","Printer","505.83","6","0.15","150.4","1"
"ORD-1070","2022-01-03 22:00:00","2022-01-04 22:00:00","Frank","Central","Furniture","Chairs","Desk","505.83","4","0.15","150.4","1"
"ORD-1071","2022-01-03 23:00:00","2022-01-04 23:00:00","Frank","East","Furniture","Storage","Paper","505.83","2","0.15","150.4","1"
"ORD-1072","2022-01-04 00:00:00","2022-01-05 00:00:00","Bob","East","Office Supplies","Accessories","Pen","505.83","7","0.15","150.4","1"
"ORD-1073","2022-01-04 01:00:00","2022-01-05 01:00:00","David","East","Office Supplies","Chairs","Monitor","505.83","5","0.15","150.4","1"
"ORD-1074","2022-01-04 02:00:00","2022-01-05 02:00:00","Frank","West","Technology","Storage","Monitor","505.83","6","0.15","150.4","1"
"ORD-1075","2022-01-04 03:00:00","2022-01-05 03:00:00","Eva","West","Office Supplies","Chairs","Monitor","505.83","6","0.15","150.4","1"
"ORD-1076","2022-01-04 04:00:00","2022-01-05 04:00:00","Bob","West","Furniture","Accessories","Pen","505.83","9","0.15","150.4","1"
"ORD-1077","2022-01-04 05:00:00","2022-01-05 05:00:00","Bob","East","Furniture","Tables","Stapler","505.83","2","0.15","150.4","1"
"ORD-1078","2022-01-04 06:00:00","2022-01-05 06:00:00","David","South","Office Supplies","Storage","Pen","505.83","6","0.15","150.4","1"
"ORD-1079","2022-01-04 07:00:00","2022-01-05 07:00:00","Bob","Central","Office Supplies","Phones","Stapler","505.83","9","0.15","150.4","1"
"ORD-1080","2022-01-04 08:00:00","2022-01-05 08:00:00","Bob","East","Office Supplies","Phones","Monitor","505.83","4","0.15","150.4","1"
"ORD-1081","2022-01-04 09:00:00","2022-01-05 09:00:00","Frank","West","Technology","Storage","Printer","505.83","6","0.15","150.4","1"
"ORD-1082","2022-01-04 10:00:00","2022-01-05 10:00:00","David","West","Furniture","Binders","Printer","505.83","7","0.15","150.4","1"
"ORD-1083","2022-01-04 11:00:00","2022-01-05 11:00:00","Frank","East","Technology","Tables","Stapler","505.83","1","0.15","150.4","1"
"ORD-1084","2022-01-04 12:00:00","2022-01-05 12:00:00","Frank","East","Technology","Binders","Monitor","505.83","5","0.15","150.4","1"
"ORD-1085","2022-01-04 13:00:00","2022-01-05 13:00:00","David","West","Furniture","Phones","Pen","505.83","4","0.15","150.4","1"
"ORD-1086","2022-01-04 14:00:00","2022-01-05 14:00:00","Alice","South","Furniture","Tables","Printer","505.83","2","0.15","150.4","1"
"ORD-1087","2022-01-04 15:00:00","2022-01-05 15:00:00","Frank","West","Office Supplies","Storage","Stapler","505.83","2","0.15","150.4","1"
"ORD-1088","2022-01-04 16:00:00","2022-01-05 16:00:00","Eva","West","Office Supplies","Chairs","Pen","505.83","2","0.15","150.4","1"
"ORD-1089","2022-01-04 17:00:00","2022-01-05 17:00:00","Eva","East","Technology","Phones","Monitor","505.83","7","0.15","150.4","1"
"ORD-1090","2022-01-04 18:00:00","2022-01-05 18:00:00","Bob","South","Office Supplies","Tables","Desk","505.83","4","0.15","150.4","1"
"ORD-1091","2022-01-04 19:00:00","2022-01-05 19:00:00","Eva","West","Office Supplies","Phones","Monitor","505.83","6","0.15","150.4","1"
"ORD-1092","2022-01-04 20:00:00","2022-01-05 20:00:00","Bob","West","Furniture","Tables","Monitor","505.83","7","0.15","150.4","1"
"ORD-1093","2022-01-04 21:00:00","2022-01-05 21:00:00","Alice","Central","Furniture","Tables","Pen","505.83","9","0.15","150.4","1"
"ORD-1094","2022-01-04 22:00:00","2022-01-05 22:00:00","David","East","Office Supplies","Tables","Pen","505.83","2","0.15","150.4","1"
"ORD-1095","2022-01-04 23:00:00","2022-01-05 23:00:00","David","Central","Furniture","Tables","Paper","505.83","9","0.15","150.4","1"
"ORD-1096","2022-01-05 00:00:00","2022-01-06 00:00:00","David","Central","Office Supplies","Binders","Paper","505.83","5","0.15","150.4","1"
"ORD-1097","2022-01-05 01:00:00","2022-01-06 01:00:00","Eva","West","Furniture","Accessories","Pen","505.83","6","0.15","150.4","1"
"ORD-1098","2022-01-05 02:00:00","2022-01-06 02:00:00","Alice","East","Furniture","Tables","Pen","505.83","6","0.15","150.4","1"
"ORD-1099","2022-01-05 03:00:00","2022-01-06 03:00:00","Eva","South","Furniture","Accessories","Desk","505.83","3","0.15","150.4","1"
"ORD-1100","2022-01-05 04:00:00","2022-01-06 04:00:00","David","West","Furniture","Chairs","Desk","505.83","7","0.15","150.4","1"
"ORD-1101","2022-01-05 05:00:00","2022-01-06 05:00:00","Alice","South","Office Supplies","Phones","Monitor","505.83","7","0.15","150.4","1"
"ORD-1102","2022-01-05 06:00:00","2022-01-06 06:00:00","Alice","South","Technology","Accessories","Printer","505.83","8","0.15","150.4","1"
"ORD-1103","2022-01-05 07:00:00","2022-01-06 07:00:00","Alice","East","Furniture","Accessories","Desk","505.83","5","0.15","150.4","1"
"ORD-1104","2022-01-05 08:00:00","2022-01-06 08:00:00","Alice","Central","Office Supplies","Storage","Monitor","505.83","2","0.15","150.4","1"
"ORD-1105","2022-01-05 09:00:00","2022-01-06 09:00:00","David","East","Office Supplies","Tables","Stapler","505.83","3","0.15","150.4","1"
"ORD-1106","2022-01-05 10:00:00","2022-01-06 10:00:00","Charlie","South","Furniture","Chairs","Paper","505.83","9","0.15","150.4","1"
"ORD-1107","2022-01-05 11:00:00","2022-01-06 11:00:00","Charlie","West","Technology","Tables","Printer","505.83","6","0.15","150.4","1"
"ORD-1108","2022-01-05 12:00:00","2022-01-06 12:00:00","Alice","South","Furniture","Phones","Monitor","505.83","8","0.15","150.4","1"
"ORD-1109","2022-01-05 13:00:00","2022-01-06 13:00:00","Charlie","West","Office Supplies","Storage","Pen","505.83","8","0.15","150.4","1"
"ORD-1110","2022-01-05 14:00:00","2022-01-06 14:00:00","Charlie","West","Technology","Tables","Stapler","505.83","5","0.15","150.4","1"
"ORD-1111","2022-01-05 15:00:00","2022-01-06 15:00:00","Alice","East","Office Supplies","Chairs","Paper","505.83","1","0.15","150.4","1"
"ORD-1112","2022-01-05 16:00:00","2022-01-06 16:00:00","Charlie","South","Furniture","Storage","Stapler","505.83","6","0.15","150.4","1"
"ORD-1113","2022-01-05 17:00:00","2022-01-06 17:00:00","David","Central","Technology","Storage","Monitor","505.83","7","0.15","150.4","1"
"ORD-1114","2022-01-05 18:00:00","2022-01-06 18:00:00","Bob","South","Office Supplies","Tables","Desk","505.83","9","0.15","150.4","1"
"ORD-1115","2022-01-05 19:00:00","2022-01-06 19:00:00","David","South","Office Supplies","Phones","Paper","505.83","2","0.15","150.4","1"
"ORD-1116","2022-01-05 20:00:00","2022-01-06 20:00:00","Alice","Central","Office Supplies","Phones","Stapler","505.83","2","0.15","150.4","1"
"ORD-1117","2022-01-05 21:00:00","2022-01-06 21:00:00","David","East","Furniture","Phones","Desk","505.83","1","0.15","150.4","1"
"ORD-1118","2022-01-05 22:00:00","2022-01-06 22:00:00","Alice","South","Technology","Tables","Printer","505.83","5","0.15","150.4","1"
"ORD-1119","2022-01-05 23:00:00","2022-01-06 23:00:00","David","South","Furniture","Storage","Monitor","505.83","2","0.15","150.4","1"
"ORD-1120","2022-01-06 00:00:00","2022-01-07 00:00:00","Bob","West","Furniture","Chairs","Monitor","505.83","3","0.15","150.4","1"
"ORD-1121","2022-01-06 01:00:00","2022-01-07 01:00:00","Alice","South","Furniture","Phones","Paper","505.83","2","0.15","150.4","1"
"ORD-1122","2022-01-06 02:00:00","2022-01-07 02:00:00","Frank","Central","Technology","Tables","Stapler","505.83","4","0.15","150.4","1"
"ORD-1123","2022-01-06 03:00:00","2022-01-07 03:00:00","Eva","West","Furniture","Tables","Printer","505.83","3","0.15","150.4","1"
"ORD-1124","2022-01-06 04:00:00","2022-01-07 04:00:00","Charlie","East","Furniture","Binders","Pen","505.83","9","0.15","150.4","1"
"ORD-1125","2022-01-06 05:00:00","2022-01-07 05:00:00","David","West","Furniture","Chairs","Paper","505.83","2","0.15","150.4","1"
"ORD-1126","2022-01-06 06:00:00","2022-01-07 06:00:00","Frank","Central","Furniture","Accessories","Pen","505.83","7","0.15","150.4","1"
"ORD-1127","2022-01-06 07:00:00","2022-01-07 07:00:00","David","Central","Office Supplies","Phones","Paper","505.83","3","0.15","150.4","1"
"ORD-1128","2022-01-06 08:00:00","2022-01-07 08:00:00","Charlie","West","Furniture","Binders","Stapler","505.83","8","0.15","150.4","1"
"ORD-1129","2022-01-06 09:00:00","2022-01-07 09:00:00","Alice","East","Office Supplies","Chairs","Printer","505.83","4","0.15","150.4","1"
"ORD-1130","2022-01-06 10:00:00","2022-01-07 10:00:00","Charlie","West","Furniture","Tables","Stapler","505.83","4","0.15","150.4","1"
"ORD-1131","2022-01-06 11:00:00","2022-01-07 11:00:00","Eva","East","Technology","Binders","Monitor","505.83","9","0.15","150.4","1"
"ORD-1132","2022-01-06 12:00:00","2022-01-07 12:00:00","Frank","West","Office Supplies","Storage","Pen","505.83","3","0.15","150.4","1"
"ORD-1133","2022-01-06 13:00:00","2022-01-07 13:00:00","Charlie","Central","Office Supplies","Binders","Desk","505.83","7","0.15","150.4","1"
"ORD-1134","2022-01-06 14:00:00","2022-01-07 14:00:00","Alice","South","Office Supplies","Accessories","Monitor","505.83","1","0.15","150.4","1"
"ORD-1135","2022-01-06 15:00:00","2022-01-07 15:00:00","Eva","South","Office Supplies","Chairs","Monitor","505.83","7","0.15","150.4","1"
"ORD-1136","2022-01-06 16:00:00","2022-01-07 16:00:00","Bob","East","Technology","Accessories","Pen","505.83","2","0.15","150.4","1"
"ORD-1137","2022-01-06 17:00:00","2022-01-07 17:00:00","Frank","East","Furniture","Accessories","Paper","505.83","6","0.15","150.4","1"
"ORD-1138","2022-01-06 18:00:00","2022-01-07 18:00:00","Charlie","East","Office Supplies","Phones","Monitor","505.83","9","0.15","150.4","1"
"ORD-1139","2022-01-06 19:00:00","2022-01-07 19:00:00","Alice","Central","Technology","Tables","Printer","505.83","6","0.15","150.4","1"
"ORD-1140","2022-01-06 20:00:00","2022-01-07 20:00:00","Bob","West","Office Supplies","Tables","Monitor","505.83","3","0.15","150.4","1"
"ORD-1141","2022-01-06 21:00:00","2022-01-07 21:00:00","Bob","Central","Furniture","Chairs","Printer","505.83","1","0.15","150.4","1"
"ORD-1142","2022-01-06 22:00:00","2022-01-07 22:00:00","David","South","Office Supplies","Storage","Stapler","505.83","4","0.15","150.4","1"
"ORD-1143","2022-01-06 23:00:00","2022-01-07 23:00:00","Eva","East","Technology","Tables","Paper","505.83","4","0.15","150.4","1"
"ORD-1144","2022-01-07 00:00:00","2022-01-08 00:00:00","Charlie","West","Furniture","Tables","Printer","505.83","8","0.15","150.4","1"
"ORD-1145","2022-01-07 01:00:00","2022-01-08 01:00:00","Alice","South","Technology","Chairs","Monitor","505.83","7","0.15","150.4","1"
"ORD-1146","2022-01-07 02:00:00","2022-01-08 02:00:00","David","South","Furniture","Tables","Paper","505.83","7","0.15","150.4","1"
"ORD-1147","2022-01-07 03:00:00","2022-01-08 03:00:00","Eva","South","Furniture","Tables","Paper","505.83","7","0.15","150.4","1"
"ORD-1148","2022-01-07 04:00:00","2022-01-08 04:00:00","David","Central","Furniture","Tables","Printer","505.83","2","0.15","150.4","1"
"ORD-1149","2022-01-07 05:00:00","2022-01-08 05:00:00","Frank","East","Office Supplies","Phones","Printer","505.83","9","0.15","150.4","1"
"ORD-1150","2022-01-07 06:00:00","2022-01-08 06:00:00","David","South","Technology","Binders","Desk","505.83","6","0.15","150.4","1"
"ORD-1151","2022-01-07 07:00:00","2022-01-08 07:00:00","Eva","East","Technology","Binders","Desk","505.83","2","0.15","150.4","1"
"ORD-1152","2022-01-07 08:00:00","2022-01-08 08:00:00","Charlie","Central","Technology","Accessories","Paper","505.83","1","0.15","150.4","1"
"ORD-1153","2022-01-07 09:00:00","2022-01-08 09:00:00","Eva","South","Furniture","Phones","Pen","505.83","1","0.15","150.4","1"
"ORD-1154","2022-01-07 10:00:00","2022-01-08 10:00:00","David","Central","Office Supplies","Storage","Pen","505.83","1","0.15","150.4","1"
"ORD-1155","2022-01-07 11:00:00","2022-01-08 11:00:00","Eva","Central","Furniture","Binders","Desk","505.83","4","0.15","150.4","1"
"ORD-1156","2022-01-07 12:00:00","2022-01-08 12:00:00","Charlie","Central","Technology","Tables","Monitor","505.83","4","0.15","150.4","1"
"ORD-1157","2022-01-07 13:00:00","2022-01-08 13:00:00","Charlie","South","Office Supplies","Chairs","Stapler","505.83","9","0.15","150.4","1"
"ORD-1158","2022-01-07 14:00:00","2022-01-08 14:00:00","Frank","Central","Office Supplies","Chairs","Paper","505.83","1","0.15","150.4","1"
"ORD-1159","2022-01-07 15:00:00","2022-01-08 15:00:00","David","Central","Office Supplies","Phones","Stapler","505.83","3","0.15","150.4","1"
"ORD-1160","2022-01-07 16:00:00","2022-01-08 16:00:00","Bob","East","Technology","Storage","Desk","505.83","3","0.15","150.4","1"
"ORD-1161","2022-01-07 17:00:00","2022-01-08 17:00:00","Bob","Central","Office Supplies","Accessories","Printer","505.83","8","0.15","150.4","1"
"ORD-1162","2022-01-07 18:00:00","2022-01-08 18:00:00","Eva","East","Office Supplies","Tables","Paper","505.83","2","0.15","150.4","1"
"ORD-1163","2022-01-07 19:00:00","2022-01-08 19:00:00","Frank","South","Furniture","Phones","Desk","505.83","6","0.15","150.4","1"
"ORD-1164","2022-01-07 20:00:00","2022-01-08 20:00:00","Alice","South","Furniture","Chairs","Monitor","505.83","4","0.15","150.4","1"
"ORD-1165","2022-01-07 21:00:00","2022-01-08 21:00:00","Eva","East","Office Supplies","Phones","Paper","505.83","6","0.15","150.4","1"
"ORD-1166","2022-01-07 22:00:00","2022-01-08 22:00:00","Frank","West","Office Supplies","Tables","Paper","505.83","5","0.15","150.4","1"
"ORD-1167","2022-01-07 23:00:00","2022-01-08 23:00:00","David","Central","Furniture","Storage","Pen","505.83","9","0.15","150.4","1"
"ORD-1168","2022-01-08 00:00:00","2022-01-09 00:00:00","David","South","Furniture","Storage","Printer","505.83","9","0.15","150.4","1"
"ORD-1169","2022-01-08 01:00:00","2022-01-09 01:00:00","David","South","Furniture","Tables","Paper","505.83","1","0.15","150.4","1"
"ORD-1170","2022-01-08 02:00:00","2022-01-09 02:00:00","David","Central","Technology","Tables","Printer","505.83","3","0.15","150.4","1"
"ORD-1171","2022-01-08 03:00:00","2022-01-09 03:00:00","David","East","Technology","Binders","Desk","505.83","1","0.15","150.4","1"
"ORD-1172","2022-01-08 04:00:00","2022-01-09 04:00:00","Frank","East","Furniture","Binders","Monitor","505.83","6","0.15","150.4","1"
"ORD-1173","2022-01-08 05:00:00","2022-01-09 05:00:00","Frank","East","Office Supplies","Binders","Monitor","505.83","3","0.15","150.4","1"
"ORD-1174","2022-01-08 06:00:00","2022-01-09 06:00:00","Charlie","West","Furniture","Phones","Paper","505.83","1","0.15","150.4","1"
"ORD-1175","2022-01-08 07:00:00","2022-01-09 07:00:00","Bob","West","Technology","Chairs","Paper","505.83","6","0.15","150.4","1"
"ORD-1176","2022-01-08 08:00:00","2022-01-09 08:00:00","David","South","Office Supplies","Storage","Desk","505.83","5","0.15","150.4","1"
"ORD-1177","2022-01-08 09:00:00","2022-01-09 09:00:00","Alice","East","Technology","Phones","Pen","505.83","8","0.15","150.4","1"
"ORD-1178","2022-01-08 10:00:00","2022-01-09 10:00:00","Frank","Central","Office Supplies","Chairs","Pen","505.83","2","0.15","150.4","1"
"ORD-1179","2022-01-08 11:00:00","2022-01-09 11:00:00","Alice","South","Technology","Storage","Pen","505.83","8","0.15","150.4","1"
"ORD-1180","2022-01-08 12:00:00","2022-01-09 12:00:00","Alice","Central","Office Supplies","Tables","Printer","505.83","5","0.15","150.4","1"
"ORD-1181","2022-01-08 13:00:00","2022-01-09 13:00:00","Alice","South","Office Supplies","Storage","Pen","505.83","8","0.15","150.4","1"
"ORD-1182","2022-01-08 14:00:00","2022-01-09 14:00:00","Charlie","West","Office Supplies","Storage","Monitor","505.83","4","0.15","150.4","1"
"ORD-1183","2022-01-08 15:00:00","2022-01-09 15:00:00","Frank","South","Office Supplies","Storage","Printer","505.83","4","0.15","150.4","1"
"ORD-1184","2022-01-08 16:00:00","2022-01-09 16:00:00","Alice","West","Technology","Accessories","Desk","505.83","4","0.15","150.4","1"
"ORD-1185","2022-01-08 17:00:00","2022-01-09 17:00:00","David","South","Technology","Tables","Monitor","505.83","6","0.15","150.4","1"
"ORD-1186","2022-01-08 18:00:00","2022-01-09 18:00:00","Eva","East","Office Supplies","Phones","Monitor","505.83","4","0.15","150.4","1"
"ORD-1187","2022-01-08 19:00:00","2022-01-09 19:00:00","Alice","Central","Office Supplies","Phones","Stapler","505.83","9","0.15","150.4","1"
"ORD-1188","2022-01-08 20:00:00","2022-01-09 20:00:00","Charlie","East","Technology","Chairs","Desk","505.83","9","0.15","150.4","1"
"ORD-1189","2022-01-08 21:00:00","2022-01-09 21:00:00","Frank","South","Office Supplies","Tables","Desk","505.83","3","0.15","150.4","1"
"ORD-1190","2022-01-08 22:00:00","2022-01-09 22:00:00","David","South","Office Supplies","Binders","Stapler","505.83","7","0.15","150.4","1"
"ORD-1191","2022-01-08 23:00:00","2022-01-09 23:00:00","Alice","South","Office Supplies","Storage","Printer","505.83","5","0.15","150.4","1"
"ORD-1192","2022-01-09 00:00:00","2022-01-10 00:00:00","Frank","West","Furniture","Phones","Pen","505.83","9","0.15","150.4","1"
"ORD-1193","2022-01-09 01:00:00","2022-01-10 01:00:00","Eva","Central","Office Supplies","Chairs","Pen","505.83","2","0.15","150.4","1"
"ORD-1194","2022-01-09 02:00:00","2022-01-10 02:00:00","David","Central","Furniture","Chairs","Pen","505.83","3","0.15","150.4","1"
"ORD-1195","2022-01-09 03:00:00","2022-01-10 03:00:00","Charlie","South","Office Supplies","Binders","Pen","505.83","5","0.15","150.4","1"
"ORD-1196","2022-01-09 04:00:00","2022-01-10 04:00:00","Bob","South","Technology","Chairs","Pen","505.83","5","0.15","150.4","1"
"ORD-1197","2022-01-09 05:00:00","2022-01-10 05:00:00","David","West","Furniture","Accessories","Stapler","505.83","7","0.15","150.4","1"
"ORD-1198","2022-01-09 06:00:00","2022-01-10 06:00:00","Charlie","East","Furniture","Storage","Desk","505.83","8","0.15","150.4","1"
"ORD-1199","2022-01-09 07:00:00","2022-01-10 07:00:00","Frank","East","Office Supplies","Tables","Printer","505.83","8","0.15","150.4","1"
"ORD-1200","2022-01-09 08:00:00","2022-01-10 08:00:00","Alice","Central","Office Supplies","Storage","Monitor","505.83","1","0.15","150.4","1"
"ORD-1201","2022-01-09 09:00:00","2022-01-10 09:00:00","David","West","Furniture","Tables","Pen","505.83","1","0.15","150.4","1"
"ORD-1202","2022-01-09 10:00:00","2022-01-10 10:00:00","Alice","South","Technology","Phones","Stapler","505.83","3","0.15","150.4","1"
"ORD-1203","2022-01-09 11:00:00","2022-01-10 11:00:00","Frank","Central","Technology","Accessories","Printer","505.83","1","0.15","150.4","1"
"ORD-1204","2022-01-09 12:00:00","2022-01-10 12:00:00","Alice","West","Office Supplies","Phones","Printer","505.83","1","0.15","150.4","1"
"ORD-1205","2022-01-09 13:00:00","2022-01-10 13:00:00","Bob","East","Technology","Accessories","Printer","505.83","8","0.15","150.4","1"
"ORD-1206","2022-01-09 14:00:00","2022-01-10 14:00:00","David","West","Technology","Phones","Stapler","505.83","1","0.15","150.4","1"
"ORD-1207","2022-01-09 15:00:00","2022-01-10 15:00:00","David","East","Office Supplies","Binders","Monitor","505.83","9","0.15","150.4","1"
"ORD-1208","2022-01-09 16:00:00","2022-01-10 16:00:00","Frank","West","Technology","Chairs","Pen","505.83","2","0.15","150.4","1"
"ORD-1209","2022-01-09 17:00:00","2022-01-10 17:00:00","Bob","Central","Office Supplies","Chairs","Printer","505.83","9","0.15","150.4","1"
"ORD-1210","2022-01-09 18:00:00","2022-01-10 18:00:00","Charlie","East","Furniture","Binders","Stapler","505.83","7","0.15","150.4","1"
"ORD-1211","2022-01-09 19:00:00","2022-01-10 19:00:00","Alice","Central","Office Supplies","Accessories","Desk","505.83","9","0.15","150.4","1"
"ORD-1212","2022-01-09 20:00:00","2022-01-10 20:00:00","Eva","Central","Furniture","Tables","Stapler","505.83","3","0.15","150.4","1"
"ORD-1213","2022-01-09 21:00:00","2022-01-10 21:00:00","Alice","East","Furniture","Accessories","Stapler","505.83","1","0.15","150.4","1"
"ORD-1214","2022-01-09 22:00:00","2022-01-10 22:00:00","Alice","East","Technology","Chairs","Stapler","505.83","1","0.15","150.4","1"
"ORD-1215","2022-01-09 23:00:00","2022-01-10 23:00:00","Charlie","South","Technology","Tables","Printer","505.83","6","0.15","150.4","1"
"ORD-1216","2022-01-10 00:00:00","2022-01-11 00:00:00","Alice","South","Technology","Phones","Stapler","505.83","7","0.15","150.4","1"
"ORD-1217","2022-01-10 01:00:00","2022-01-11 01:00:00","Bob","South","Office Supplies","Tables","Desk","505.83","9","0.15","150.4","1"
"ORD-1218","2022-01-10 02:00:00","2022-01-11 02:00:00","Bob","Central","Technology","Accessories","Printer","505.83","6","0.15","150.4","1"
"ORD-1219","2022-01-10 03:00:00","2022-01-11 03:00:00","David","Central","Furniture","Binders","Desk","505.83","5","0.15","150.4","1"
"ORD-1220","2022-01-10 04:00:00","2022-01-11 04:00:00","Frank","South","Technology","Phones","Paper","505.83","2","0.15","150.4","1"
"ORD-1221","2022-01-10 05:00:00","2022-01-11 05:00:00","Eva","Central","Technology","Accessories","Stapler","505.83","2","0.15","150.4","1"
"ORD-1222","2022-01-10 06:00:00","2022-01-11 06:00:00","Alice","Central","Office Supplies","Phones","Pen","505.83","8","0.15","150.4","1"
"ORD-1223","2022-01-10 07:00:00","2022-01-11 07:00:00","Alice","East","Office Supplies","Tables","Pen","505.83","1","0.15","150.4","1"
